days,sample number,design,predated,location,date,temperature,slug,weather
6,318,2,0,1,16/02/2024,13,0,2
6,319,2,0,1,16/02/2024,13,0,2
6,321,3,1,1,16/02/2024,13,0,2
6,322,3,1,1,16/02/2024,13,0,2
6,323,3,1,1,16/02/2024,13,0,2
6,324,3,1,1,16/02/2024,13,0,2
6,325,3,1,1,16/02/2024,13,0,2
6,326,3,1,1,16/02/2024,13,0,2
6,327,3,1,1,16/02/2024,13,0,2
6,328,3,1,1,16/02/2024,13,0,2
6,329,3,1,1,16/02/2024,13,0,2
6,330,3,1,1,16/02/2024,13,0,2
6,331,3,1,1,16/02/2024,13,0,2
6,332,3,1,1,16/02/2024,13,0,2
6,333,3,1,1,16/02/2024,13,0,2
6,334,3,1,1,16/02/2024,13,0,2
6,335,3,1,1,16/02/2024,13,0,2
6,336,3,1,1,16/02/2024,13,0,2
6,337,3,1,1,16/02/2024,13,0,2
6,338,3,1,1,16/02/2024,13,0,2
6,339,3,0,1,16/02/2024,13,0,2
6,340,3,0,1,16/02/2024,13,0,2
6,341,3,0,1,16/02/2024,13,0,2
6,342,3,0,1,16/02/2024,13,0,2
6,343,3,0,1,16/02/2024,13,0,2
6,344,3,0,1,16/02/2024,13,0,2
6,345,3,0,1,16/02/2024,13,0,2
6,346,3,0,1,16/02/2024,13,0,2
6,347,3,0,1,16/02/2024,13,0,2
6,348,3,0,1,16/02/2024,13,0,2
6,349,3,0,1,16/02/2024,13,0,2
6,350,3,0,1,16/02/2024,13,0,2
6,351,3,0,1,16/02/2024,13,0,2
6,352,3,0,1,16/02/2024,13,0,2
6,353,3,0,1,16/02/2024,13,0,2
6,354,3,0,1,16/02/2024,13,0,2
6,355,3,0,1,16/02/2024,13,0,2
6,356,3,0,1,16/02/2024,13,0,2
6,357,3,0,1,16/02/2024,13,0,2
6,358,3,0,1,16/02/2024,13,0,2
6,359,3,0,1,16/02/2024,13,0,2
8,361,1,1,2,18/02/2024,11,0,1
8,362,1,1,2,18/02/2024,11,0,1
8,363,1,1,2,18/02/2024,11,0,1
8,364,1,1,2,18/02/2024,11,0,1
8,365,1,1,2,18/02/2024,11,0,1
8,366,1,1,2,18/02/2024,11,0,1
8,367,1,1,2,18/02/2024,11,0,1
8,368,1,1,2,18/02/2024,11,0,1
8,369,1,1,2,18/02/2024,11,0,1
8,370,1,1,2,18/02/2024,11,0,1
8,371,1,1,2,18/02/2024,11,0,1
8,372,1,1,2,18/02/2024,11,0,1
8,373,1,1,2,18/02/2024,11,0,1
8,374,1,1,2,18/02/2024,11,0,1
8,375,1,1,2,18/02/2024,11,0,1
8,376,1,1,2,18/02/2024,11,0,1
8,377,1,1,2,18/02/2024,11,0,1
8,378,1,1,2,18/02/2024,11,0,1
8,379,1,1,2,18/02/2024,11,0,1
8,380,1,1,2,18/02/2024,11,0,1
8,381,1,1,2,18/02/2024,11,0,1
8,382,1,1,2,18/02/2024,11,0,1
8,383,1,1,2,18/02/2024,11,0,1
8,384,1,1,2,18/02/2024,11,0,1
8,385,1,1,2,18/02/2024,11,0,1
8,386,1,1,2,18/02/2024,11,0,1
8,387,1,1,2,18/02/2024,11,0,1
8,388,1,1,2,18/02/2024,11,0,1
8,389,1,1,2,18/02/2024,11,0,1
8,390,1,1,2,18/02/2024,11,0,1
8,391,1,0,2,18/02/2024,11,0,1
8,392,1,0,2,18/02/2024,11,0,1
8,393,1,0,2,18/02/2024,11,0,1
8,394,1,0,2,18/02/2024,11,0,1
8,395,1,0,2,18/02/2024,11,0,1
8,396,1,0,2,18/02/2024,11,0,1
8,397,1,0,2,18/02/2024,11,0,1
8,401,2,1,2,18/02/2024,11,0,1
8,402,2,1,2,18/02/2024,11,0,1
8,403,2,1,2,18/02/2024,11,0,1
8,404,2,1,2,18/02/2024,11,0,1
8,405,2,1,2,18/02/2024,11,0,1
8,406,2,1,2,18/02/2024,11,0,1
8,407,2,1,2,18/02/2024,11,0,1
8,408,2,1,2,18/02/2024,11,0,1
8,409,2,1,2,18/02/2024,11,0,1
8,410,2,1,2,18/02/2024,11,0,1
8,411,2,1,2,18/02/2024,11,0,1
8,412,2,1,2,18/02/2024,11,0,1
8,413,2,1,2,18/02/2024,11,0,1
8,414,2,1,2,18/02/2024,11,0,1
8,415,2,1,2,18/02/2024,11,0,1
8,416,2,1,2,18/02/2024,11,0,1
8,417,2,1,2,18/02/2024,11,0,1
8,418,2,1,2,18/02/2024,11,0,1
8,419,2,1,2,18/02/2024,11,0,1
8,420,2,1,2,18/02/2024,11,0,1
8,421,2,1,2,18/02/2024,11,0,1
8,422,2,0,2,18/02/2024,11,0,1
8,423,2,0,2,18/02/2024,11,0,1
8,424,2,0,2,18/02/2024,11,0,1
8,425,2,0,2,18/02/2024,11,0,1
8,426,2,0,2,18/02/2024,11,0,1
8,427,2,0,2,18/02/2024,11,0,1
8,428,2,0,2,18/02/2024,11,0,1
8,429,2,0,2,18/02/2024,11,0,1
8,430,2,0,2,18/02/2024,11,0,1
8,431,2,0,2,18/02/2024,11,0,1
8,432,2,0,2,18/02/2024,11,0,1
8,433,2,0,2,18/02/2024,11,0,1
8,434,2,0,2,18/02/2024,11,0,1
8,435,2,0,2,18/02/2024,11,0,1
8,436,2,0,2,18/02/2024,11,0,1
8,437,2,0,2,18/02/2024,11,0,1
8,438,2,0,2,18/02/2024,11,0,1
8,441,3,1,2,18/02/2024,11,0,1
8,442,3,1,2,18/02/2024,11,0,1
8,443,3,1,2,18/02/2024,11,0,1
8,444,3,1,2,18/02/2024,11,0,1
8,445,3,1,2,18/02/2024,11,0,1
8,446,3,1,2,18/02/2024,11,0,1
8,447,3,1,2,18/02/2024,11,0,1
8,448,3,1,2,18/02/2024,11,0,1
8,449,3,1,2,18/02/2024,11,0,1
8,450,3,1,2,18/02/2024,11,0,1
8,451,3,1,2,18/02/2024,11,0,1
8,452,3,1,2,18/02/2024,11,0,1
8,453,3,1,2,18/02/2024,11,0,1
8,454,3,1,2,18/02/2024,11,0,1
